codigo.situr;RIF.x;codigo.proyecto_2016;Estado;Municipio;Parroquia;Entidad;Nombre.Proyecto_2016;Sub.Categoria;Fecha.Creacion;Fecha.Inicio;Monto_2016;Área_2016;Kg_Estimados_2016;Area_Efectiva_2016(FONDAS);Kg_Arrimado_2016(FONDAS);;;;;
03-02-01-001-0033;C307550821;CCO-16-02-02-00015;anzoátegui;aragua;aragua;guacamayo;siembra de 334 has de maiz blanco; en el sector guacamayo de el municipio aragua del estado anzoategui ;cereales;03/05/2016;2016-05-25;52772000;334;1169000;226;125220;;;;
03-02-02-008-0000;C299695246;CCO-16-02-02-00012;anzoátegui;aragua;cachipo;indigena caico seco (sin nombre comercial);siembra de 50 has de yuca en la comunidad indígena caico seco; paerroqia cachipo; municipio aragua del estado anzoategui.;raíces; tubérculos y cucurbitáceas;19/03/2016;2016-04-22;3650000;50;175000;0;0;;
03-05-0000;C404249311;COM-16-02-09-00001;anzoátegui;francisco de miranda;atapirire;la  primera  combatiente;siembra de 150 hectareas de yuca amarga en la comuna la primera combatiente del municipio francisco de miranda estado anzoategui;raíces; tubérculos y cucurbitáceas;15/05/2016;2016-12-07;95371853;85;150;525000;0;0;;;
03-09-0000;C403913188;COM-16-02-05-00002;anzoátegui;juan manuel cajigal;san pablo;comuna san pablo (comuna san pablo);siembra de 1000 has de maiz amarillo; en el sector san pablo; municipio cajigal del estado anzoategui;cereales;16/05/2016;2016-06-15;140000000;1000;3500000;269;97130;;;
03-10-06-001-0001;J299697982;CCO-16-02-10-00006;anzoátegui;josé gregorio monagas;zuata;pekin;siembra de 50 hectareas de maiz amarillo;cereales;01/04/2016;2016-05-25;3500000;50;175000;10;0;;;;;
03-13-01-001-0001;C299128376;CCO-16-02-06-00003;anzoátegui;pedro maría freites;cantaura;tascabaña 2 indigena (sin nombre comercial);adquisicion de equipos y materiales para el sistema de riego para la siembra de hortaliza.;hortalizas;17/02/2016;2016-04-06;6760000;20;70000;0;0;;;;;
03-13-01-197-0001;C308999849;CCO-16-02-06-00006;anzoátegui;pedro maría freites;cantaura;indigena kariña de kashaama (sin nombre comercial);siembra de 20 has de tomate bajo riego por goteo;hortalizas;19/03/2016;2016-05-11;7860000;20;70000;0;0;;;;;
03-18-02-001-0050;J306400753;CCO-16-02-03-00003;anzoátegui;simón bolívar;san cristóbal;pica del toco (no indica);sistema de riego por goteo del consejo comunal la pica del toco;hortalizas;27/02/2016;2016-12-14;32714707;86;13;45500;0;0;;;;
03-19-01-001-0102;C400033993;CCO-16-02-12-00009;anzoátegui;simón rodríguez;edmundo barrios;parcelamiento la aventazon;siembra de 6 hectareas de tomate a cielo abierto;hortalizas;22/03/2016;2016-12-14;15099095;93;6;21000;0;0;;;;
04-01-0005;J403716196;COM-16-03-01-00010;apure;achaguas;urbana achaguas;"revolucionaria "" 4 de febrero""";siembra de cereales; en el sector buena vista; municipio achaguas; edo apure.;cereales;28/04/2016;2016-05-25;27719017;68;175;612500;175;178190;
04-02-0006;J404875590;COM-16-03-07-00004;apure;biruaca;biruaca;los herederos de chavez;plan de siembra de maiz blanco en la comuna los herederos de chavez;cereales;27/02/2016;2016-04-06;15000000;300;1050000;272;94480;;;;;
04-02-01-012-0000;J299788325;CCO-16-03-07-00025;apure;biruaca;biruaca;el cochinito;proyecto socio productivo maiz blanco ;cereales;04/03/2016;2016-05-25;5000000;50;175000;6;0;;;;;
04-02-01-059-0008;C299295205;CCO-16-03-07-00020;apure;biruaca;biruaca;la enea (sin nombre comercial);cria de cachamas en lagunas artificiales;sistema de producción piscícola y acuícola;27/02/2016;2016-05-11;10000000;NA;NA;0;0;;;;;
04-04-0011;J404154060;COM-16-03-03-00019;apure;páez;guasdualito;renacer bolivariano;siembra de 30 hectareas de arroz;cereales;09/04/2016;2016-05-11;4000000;30;105000;5;0;;;;;
04-04-0021;C404731687;COM-16-03-03-00009;apure;páez;san camilo;socialista â¨che guevaraâ¨;plan de siembra de yuca;raíces; tubérculos y cucurbitáceas;22/03/2016;2016-05-18;9600000;240;840000;0;0;;;;
05-02-02-001-0001;J299284092;CCO-16-04-15-00012;aragua;camatagua;no urbana carmen de cura;el olivo;cultivo de caraota;leguminosas;18/03/2016;2016-05-11;4500000;150;525000;0;0;;;;;
05-03-03-001-0019;C299689211;CCO-16-04-01-00008;aragua;atanasio girardot;las delicias;santa eduvigis;implementacion de  sistema de hortalizas; bajo la modalidad de agricultura urbana;hortalizas;28/02/2016;2016-12-14;2307026;53;1;3500;0;0;;;
05-05-04-001-0001;C299347574;CCO-16-04-03-00005;aragua;josé félix ribas;pao de zárate;la fundacion la ceiba y toro (sin nombre comercial);siembra de tomate;hortalizas;20/02/2016;2016-12-07;7549547;97;3;10500;0;0;;;;
05-08-0000;C405157682;COM-16-04-13-00001;aragua;mario briceño iragorry;mario briceño iragorry;carlos escarra;rehabilitacion de una casa de cultivo e insumos para produccion de 1/4 de hectarea de hortalizas en la comuna carlos escarra;hortalizas;15/06/2016;2016-06-22;950000;0;25;875;0;0;;;;
05-09-01-001-0046;C299675539;CCO-16-04-04-00009;aragua;san casimiro;san casimiro;zuata el trapiche pedernal los rastrojos mucura parte baja;siembra de hortalizas ;hortalizas;27/02/2016;2017-02-03;12582579;95;5;17500;0;0;;;;
05-09-02-001-0003;C299492590;CCO-16-04-04-00025;aragua;san casimiro;no urbana güiripa;guambra (sin nombre comercial);siembra de hortalizas;hortalizas;14/06/2016;2016-12-21;13842159;16;10;35000;0;0;;;;
